Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
44121,LU0265266980,01/03/2023,01/03/2024,520,154,YES
35130,LU0265267285,01/03/2023,01/03/2024,520,154,YES
93549,LU0823389936,01/03/2023,10/07/2024,520,23,YES
129247,LU1789408728,01/03/2023,10/07/2024,520,23,YES
51164,LU0823389779,01/03/2023,10/07/2024,520,23,YES
129249,N/A,01/03/2023,Date not found in the paragraph,520,N/A,YES
18028,LU0823389852,01/03/2023,10/07/2024,520,23,YES
129254,LU1789408561,01/03/2023,10/07/2024,520,23,YES
311281,LU1596579901,01/04/2021,01/04/2021,1219,1219,NO
311284,LU1596579067,01/04/2021,01/04/2021,1219,1219,NO
311282,LU1596579653,01/04/2021,01/04/2021,1219,1219,NO
311283,LU1596579224,01/04/2021,01/04/2021,1219,1219,NO
311280,LU1596579570,01/04/2021,01/04/2021,1219,1219,NO
311279,LU1596580313,01/04/2021,01/04/2021,1219,1219,NO
45732,LU0823432611,01/03/2023,01/03/2024,520,154,YES
45539,IE0003852799,01/04/2023,22/04/2024,489,102,YES
16693,IE0000830459,01/04/2020,01/04/2020,1584,1584,NO
16678,IE0032149506,01/09/2023,30/04/2024,336,94,YES
33473,IE0004850503,01/09/2023,30/04/2024,336,94,YES
10567,IE0000838304,01/09/2023,30/04/2024,336,94,YES
8326,N/A,01/09/2023,Date not found in the paragraph,336,N/A,YES
8325,IE0004851022,01/09/2023,30/04/2024,336,94,YES
16672,GB0000796242,01/07/2023,30/04/2024,398,94,YES
16671,GB0030655780,01/07/2023,30/04/2024,398,94,YES
16673,GB0000804335,01/04/2023,30/04/2024,489,94,YES
16674,N/A,01/04/2023,Date not found in the paragraph,489,N/A,YES
20985,GB0008192063,01/04/2023,30/04/2024,489,94,YES
16655,IE00B237VG42,01/05/2021,01/05/2021,1189,1189,NO
16656,IE0030165983,01/05/2021,01/05/2021,1189,1189,NO
36646,IE00B62P4Q86,01/04/2024,30/04/2024,123,94,NO
33475,IE0032158341,01/04/2024,30/04/2024,123,94,NO
10568,IE0000835953,01/04/2024,30/04/2024,123,94,NO
16684,IE0033156484,01/04/2024,30/04/2024,123,94,NO
25486,IE0032158457,01/04/2024,30/04/2024,123,94,NO
15213,IE0004851808,01/04/2024,30/04/2024,123,94,NO
8323,IE0000805634,01/09/2023,30/04/2024,336,94,YES
36641,N/A,01/09/2023,Date not found in the paragraph,336,N/A,YES
8322,IE0004852103,01/09/2023,30/04/2024,336,94,YES
16682,IE0030016244,01/09/2023,30/04/2024,336,94,YES
16681,IE0030016467,01/09/2023,30/04/2024,336,94,YES
33474,IE0030016350,01/09/2023,30/04/2024,336,94,YES
16679,IE0004851352,01/09/2023,30/04/2024,336,94,YES
16680,IE0000931182,01/09/2023,30/04/2024,336,94,YES
8319,IE0004868828,01/09/2023,30/04/2024,336,94,YES
